addressString
"**, Kelowna, **"
"**, Revelstoke, **"
"*, Abbotsford, *"
"*, Vernon,"
"1 Kingsway (Entrance off East 8th), Vancouver"
"715/725 Notre Dame Drive, Kamloops"
"7320 Buller Ave, Burnaby"
"7320 Buller Avenue , Burnaby"
"7320 Buller Avenue, Burnaby"
"740 Carnarvon Street, New Westminster"
"740 Carnarvon Street, New Westminster"
"748 Similkameen Avenue, Oliver"
"7540 6th St., Burnaby"
"7540 6th Street, Burnaby"
"76 5th Avenue, Lillooet"
"7655 - 120 Street, Delta"
"7655 120th Street, Delta"
"7840 Granville Ave, Richmond"
"7840 Granville Avenue, Richmond"
"8000 Nesters Road, Whistler"
"809 Burdett Avenue, Victoria"
"809 Burdett Avenue, Victoria"
"816 Vernon St, Nelson"
"816 Vernon Street, Nelson"
"858 Ellis Street, Kelowna"
"8585 Hudson St, Vancouver"
"8585 Hudson St., Vancouver"
"8585 Hudson Street, Vancouver"
"870 Denman (enter on Haro St.), Vancouver"
"870 Denman Street (Entrance on Haro st.), Vancouver"
"875 Terminal Avenue, Vancouver"
"875 Terminal Avenue, Vancouver"
"919 Pandora Ave, Victoria"
"919 Pandora Avenue, Victoria"
"926 Pandora Ave, Victoria"
"9683 137 Street, Surrey"
"9810 Foxglove Drive, Surrey"
"9824 99 Avenue, Fort St. John"
"99 Third Avenue, Williams Lake"
"B-402 Columbia Street East, New Westminster"
"B-402 East Columbia Street, New Westminster"
"Pacific Community Church 5337 180 St, Surrey"
"Phone for more details, Abbotsford,"
"Unit A - 7305 Market Street, Port Hardy"
"Various sites, Coquitlam"
"address hidden, Abbotsford"
"address hidden, Maple Ridge"
"address hidden, New Westminster"
"address hidden, North Vancouver"
"address hidden, Surrey"
"address hidden, Vancouver"
