"sequenceNumber","resultNumber","yourId","fullAddress","intersectionName","score","matchPrecision","precisionPoints","faults","siteName","unitDesignator","unitNumber","unitNumberSuffix","civicNumber","civicNumberSuffix","streetName","streetType","isStreetTypePrefix","streetDirection","isStreetDirectionPrefix","streetQualifier","localityName","localityType","electoralArea","provinceCode","location","locationPositionalAccuracy","locationDescriptor","siteID","blockID","intersectionID","fullSiteDescriptor","accessNotes","siteStatus","siteRetireDate","changeDate","isOfficial","degree","executionTime","sid"
25,1,,"1795 Venables St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1795",,"Venables","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1213437 477815)","high","parcelPoint","2b0e4104-06a9-4398-99bd-422c9a1ef71b",476272,,,"""","active","9999-12-31","2025-02-07","true",,6.783,1234510
26,1,,"1834 Trans-Canada Hwy, Kanaka Bar, BC",,82,"BLOCK",99,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_NAME.isHighwayAlias:0, STREET_DIRECTION.notMatchedInHighway:0, STREET_DIRECTION.notPrefix:0, STREET_TYPE.notMatched:3, STREET_TYPE.notSuffix:0, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,"1834",,"Trans-Canada","Hwy","false",,"false",,"Kanaka Bar","Locality","TNRD Electoral Area I (Blue Sky Country)","BC","SRID=3005;POINT(1316169.681 580110.786)","low","accessPoint",,544297,,,,"active",,,"true",,106.698,
27,1,,"1836 W 5th Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"1836",,"5th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1207856 476461)","high","parcelPoint","e77761a2-26a3-4e92-af14-54de9d44a700",110652,,,"""","active","9999-12-31","2025-02-07","true",,87.689,4468591
28,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,31.72,
29,1,,"229 Carrall St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,"229",,"Carrall","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210792 478368)","high","parcelPoint","129c1115-485e-45cf-a8d2-c8a6845b049d",275338,,,"""","active","9999-12-31","2025-02-07","true",,56.965,3622853
30,1,,"2832 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"2832",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1208441 475749)","high","parcelPoint","d3a26ecf-933b-4244-903b-c7ccafa68f1f",106843,,,"""","active","9999-12-31","2025-02-07","true",,52.355,3069151
31,1,,"2889 E Hastings St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"2889",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1215137 478386)","high","parcelPoint","a5beda69-08d8-4099-bc5a-7093c11dbaeb",100867,,,"""","active","9999-12-31","2025-02-07","true",,29.33,4466599
32,1,,"UNIT 300 -- 1622 W 7th Ave, Vancouver, BC",,51,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6]",,"UNIT","300",,"1622",,"7th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208177 476292)","high","parcelPoint","a8ff1f14-2041-4144-84a1-1998b51bc909",110513,,"UNIT 300","""","active","9999-12-31","2025-02-07","true",,74.618,3287927
33,1,,"355 Kingsway, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"355",,"Kingsway",,"false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1211463 475931)","high","parcelPoint","9fd6ff86-d7f3-473c-a09c-a6114d952698",101278,,,"""","active","9999-12-31","2025-02-07","true",,8.557,2728016
34,1,,"375 W 5th Ave, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"375",,"5th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210326 476573)","high","parcelPoint","e769696b-d265-40f9-ab52-e9e79165a2b7",100455,,,"""","active","9999-12-31","2025-02-07","true",,87.998,4304648
35,1,,"387 Water St, Mount Currie, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"387",,"Water","St","false",,"false",,"Mount Currie","Community","SLRD Electoral Area C","BC","SRID=3005;POINT(1233497 594735)","high","parcelPoint","b7b46c80-3e07-494f-966b-18faf4f32abf",2611057,,,"""","active","9999-12-31","2025-02-07","true",,18.993,4355689
36,1,,"409 Granville St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"409",,"Granville","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210053 478616)","high","parcelPoint","fe0ddd13-0138-4ddd-a14c-51354a23a58b",100306,,,"""","active","9999-12-31","2025-02-07","true",,59.04,4429644
37,1,,"475 Howe St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"475",,"Howe","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209954 478648)","high","parcelPoint","95c91dc9-21e9-4583-bf91-ad9619c16830",471930,,,"""","active","9999-12-31","2025-02-07","true",,21.786,3821196
38,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,35.659,
39,1,,"Seymour Arm Main FSR, St. Ives, BC",,59,"STREET",78,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.partialMatch:1, STREET_TYPE.notMatched:3, CIVIC_NUMBER.notInAnyBlock:1, PROVINCE.missing:1, FAULTS.tooMany:6]",,,,,,,"Seymour Arm Main","FSR","false",,"false",,"St. Ives","Community","CSRD Electoral Area F","BC","SRID=3005;POINT(1485035.16 693247.5)","coarse","streetPoint",,,,,,"active",,,"true",,12.258,
40,1,,"567 Hornby St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"567",,"Hornby","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209783 478599)","high","parcelPoint","958cbd3b-8085-4225-97f3-f0c7f75810d6",475821,,,"""","active","9999-12-31","2025-02-07","true",,28.964,4437644
41,1,,"Canal Flats, BC",,52,"LOCALITY",68,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,,,,,"false",,"false",,"Canal Flats","Village",,"BC","SRID=3005;POINT(1725584.87 623900.11)","coarse","localityPoint",,,,,,"active",,,"true",,106.575,
42,1,,"6083 McKay Ave, Burnaby, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"6083",,"McKay","Ave","false",,"false",,"Burnaby","City",,"BC","SRID=3005;POINT(1218299 472705)","high","parcelPoint","21de007a-f59a-4633-8b53-de7a0740e4a0",458423,,,"""","active","9999-12-31","2025-02-07","true",,8.066,1490755
43,1,,"654 Nelson St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"654",,"Nelson","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209474 477876)","high","parcelPoint","713f296a-4c50-480e-8ca0-805f36afadb0",473815,,,"""","active","9999-12-31","2025-02-07","true",,88.592,4466305
44,1,,"675 W Hastings St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"675",,"Hastings","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210143 478619)","high","parcelPoint","3c8fcc80-05d7-40a2-b669-a1bf896fb938",100373,,,"""","active","9999-12-31","2025-02-07","true",,32.74,3357007
45,1,,"718 Drake St, Vancouver, BC",,52,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, LOCALITY_GARBAGE.notAllowed:3, LOCALITY.spelledWrong:2, LOCALITY.notMatched:35, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"718",,"Drake","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1209093 477550)","high","parcelPoint","4b8a8814-6ca8-4b48-ab3a-6c0f3e52c05a",335711,,,"""","active","9999-12-31","2025-02-07","true",,15.668,4191353
